# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADD37	YMR184W	YMR184W_mRNA	protein_coding	0	0	0	279	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	124
ADD66	YKL206C	YKL206C_mRNA	protein_coding	1	1	0	75	0	0	0	0	41	1	0	0	0	0	0	0	0	0	0	0	0	1	34
ADE1	YAR015W	YAR015W_mRNA	protein_coding	1	5	1	252	0	0	0	0	164	1	0	0	1	0	0	0	0	0	0	0	0	5	88
ADE12	YNL220W	YNL220W_mRNA	protein_coding	8	5	6	196	0	0	0	0	152	8	0	0	6	0	0	0	0	0	1	0	0	5	44
ADE13	YLR359W	YLR359W_mRNA	protein_coding	9	12	13	431	0	0	0	0	211	7	0	0	14	0	0	0	0	0	2	0	0	12	220
ADE16	YLR028C	YLR028C_mRNA	protein_coding	9	9	14	265	0	0	0	1	191	8	0	0	14	0	0	0	0	0	1	0	0	9	74
ADE17	YMR120C	YMR120C_mRNA	protein_coding	7	9	6	272	0	0	0	0	116	7	0	0	6	0	0	0	0	0	0	0	0	9	156
ADE2	YOR128C	YOR128C_mRNA	protein_coding	7	8	7	530	0	0	0	0	409	7	0	0	7	0	0	0	0	0	0	0	0	8	121
ADE3	YGR204W	YGR204W_mRNA	protein_coding	3	12	7	194	0	0	0	0	68	3	0	0	7	0	0	0	0	0	0	0	0	12	126
ADE4	YMR300C	YMR300C_mRNA	protein_coding	1	6	2	176	0	0	0	0	63	1	0	0	2	0	0	0	0	1	0	0	0	6	113
ADE5,7	YGL234W	YGL234W_mRNA	protein_coding	8	5	13	489	0	0	0	0	285	8	0	0	13	0	0	0	0	0	1	0	0	5	204
ADE6	YGR061C	YGR061C_mRNA	protein_coding	7	10	15	140	0	0	0	0	56	6	0	0	15	0	0	0	0	0	1	0	0	10	84
ADE8	YDR408C	YDR408C_mRNA	protein_coding	2	1	8	123	0	0	0	0	95	2	0	0	8	0	0	0	0	0	0	0	0	1	28
ADF1	YCL058W-A	YCL058W-A_mRNA	protein_coding	3	0	2	593	0	0	0	0	339	3	0	0	3	0	0	0	0	0	1	0	0	0	254
ADH1	YOL086C	YOL086C_mRNA	protein_coding	110	12	81	1586	1	17	0	8	933	107	0	0	66	0	0	0	1	0	4	1	0	16	653
ADH2	YMR303C	YMR303C_mRNA	protein_coding	5	32	39	284	0	1	0	0	151	5	0	0	38	0	0	0	0	0	0	0	0	32	133
ADH3	YMR083W	YMR083W_mRNA	protein_coding	0	2	3	119	0	0	0	0	39	0	0	0	3	0	0	0	0	0	0	0	0	2	80
ADH4	YGL256W	YGL256W_mRNA	protein_coding	5	7	14	358	0	0	0	0	42	5	0	0	14	0	0	0	0	0	0	0	0	7	316
ADH5	YBR145W	YBR145W_mRNA	protein_coding	3	5	5	296	0	0	0	0	172	3	0	0	5	0	0	0	0	0	0	0	0	5	124
ADH6	YMR318C	YMR318C_mRNA	protein_coding	1	5	1	266	0	0	0	0	122	1	0	0	1	0	0	0	0	0	0	0	0	5	144
ADH7	YCR105W	YCR105W_mRNA	protein_coding	1	2	0	160	0	0	0	0	135	1	0	0	0	0	0	0	0	0	0	0	0	2	25
ADI1	YMR009W	YMR009W_mRNA	protein_coding	0	7	1	142	0	0	0	0	39	0	0	0	1	0	0	0	0	0	0	0	0	7	103
ADK1	YDR226W	YDR226W_mRNA	protein_coding	8	17	42	533	0	0	0	0	381	5	0	0	43	0	0	0	0	0	3	0	0	18	152
ADK2	YER170W	YER170W_mRNA	protein_coding	5	1	6	277	0	0	0	0	102	4	0	0	6	0	0	0	0	0	1	0	0	1	175
ADO1	YJR105W	YJR105W_mRNA	protein_coding	12	9	26	465	0	0	0	0	134	10	0	0	27	0	0	0	1	1	1	1	0	9	331
ADP1	YCR011C	YCR011C_mRNA	protein_coding	11	2	5	82	0	0	0	0	29	11	0	0	5	0	0	0	0	0	0	0	0	2	53
ADR1	YDR216W	YDR216W_mRNA	protein_coding	19	26	25	197	0	0	0	0	170	19	0	0	26	0	0	0	0	0	0	0	0	26	27
ADY2	YCR010C	YCR010C_mRNA	protein_coding	0	0	0	73	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	35
ADY3	YDL239C	YDL239C_mRNA	protein_coding	138	30	155	533	4	6	3	1	298	132	0	0	170	0	0	0	0	0	7	0	0	35	235
ADY4	YLR227C	YLR227C_mRNA	protein_coding	11	4	10	822	0	0	0	0	300	11	0	0	10	0	0	0	0	0	0	0	0	4	522
AEP1	YMR064W	YMR064W_mRNA	protein_coding	7	16	13	321	0	0	0	0	262	6	0	0	15	0	0	0	0	0	1	0	0	16	59
AEP2	YMR282C	YMR282C_mRNA	protein_coding	5	2	4	592	0	0	0	0	67	4	0	0	4	0	0	0	0	0	1	0	0	2	525
AEP3	YPL005W	YPL005W_mRNA	protein_coding	7	8	13	457	0	0	0	0	72	7	0	0	13	0	0	0	0	0	0	0	0	8	385
AFB1	YLR040C	YLR040C_mRNA	protein_coding	12	5	35	628	0	0	0	0	296	12	0	0	37	0	0	0	0	0	0	0	0	5	332
AFG1	YEL052W	YEL052W_mRNA	protein_coding	6	3	6	285	0	0	0	0	226	6	0	0	6	0	0	0	0	0	0	0	0	3	59
AFG2	YLR397C	YLR397C_mRNA	protein_coding	17	16	35	625	0	0	0	0	45	16	0	0	35	0	0	0	0	1	1	0	0	17	580
AFG3	YER017C	YER017C_mRNA	protein_coding	9	11	14	297	0	0	0	0	107	8	0	0	14	0	0	0	0	0	1	0	0	11	190
AFI1	YOR129C	YOR129C_mRNA	protein_coding	20	12	31	403	0	0	0	0	243	17	0	0	31	0	0	0	0	0	4	0	0	12	160
AFR1	YDR085C	YDR085C_mRNA	protein_coding	4	14	11	207	0	0	0	0	53	4	0	0	11	0	0	0	0	0	0	0	0	14	154
AFT1	YGL071W	YGL071W_mRNA	protein_coding	8	5	17	140	0	0	0	0	51	7	0	0	17	0	0	0	0	0	1	0	0	5	89
AFT2	YPL202C	YPL202C_mRNA	protein_coding	15	11	26	199	0	1	0	0	45	13	0	0	28	0	0	0	0	0	2	0	0	11	154
AGA1	YNR044W	YNR044W_mRNA	protein_coding	11	17	34	274	0	0	0	0	157	11	0	0	34	0	0	0	0	0	0	0	0	17	117
AGA2	YGL032C	YGL032C_mRNA	protein_coding	1	0	1	520	0	0	0	0	391	0	0	0	1	0	0	0	1	0	0	1	0	0	129
AGC1	YPR021C	YPR021C_mRNA	protein_coding	14	8	28	538	0	0	0	0	284	11	0	0	30	0	0	0	0	0	3	0	0	8	254
AGE1	YDR524C	YDR524C_mRNA	protein_coding	13	9	27	742	0	0	0	0	274	12	0	0	28	0	0	0	0	0	1	0	0	9	468
AGE2	YIL044C	YIL044C_mRNA	protein_coding	6	8	19	138	0	0	0	0	83	6	0	0	19	0	0	0	0	0	0	0	0	8	55
AGP1	YCL025C	YCL025C_mRNA	protein_coding	3	2	6	442	0	0	0	0	35	3	0	0	6	0	0	0	0	0	0	0	0	2	407
AGP2	YBR132C	YBR132C_mRNA	protein_coding	18	15	41	804	0	1	0	0	690	15	0	0	40	0	0	0	0	0	3	0	0	15	114
AGX1	YFL030W	YFL030W_mRNA	protein_coding	4	10	1	197	0	0	0	0	105	4	0	0	1	0	0	0	0	0	0	0	0	10	92
AHA1	YDR214W	YDR214W_mRNA	protein_coding	1	3	2	102	0	0	0	0	74	1	0	0	2	0	0	0	0	0	0	0	0	3	28
AHC1	YOR023C	YOR023C_mRNA	protein_coding	4	15	4	113	0	0	0	0	72	4	0	0	4	0	0	0	0	0	0	0	0	15	41
AHC2	YCR082W	YCR082W_mRNA	protein_coding	3	0	6	457	0	0	0	0	377	3	0	0	7	0	0	0	0	0	0	0	0	0	80
AHK1	YDL073W	YDL073W_mRNA	protein_coding	12	5	16	122	0	0	0	0	51	12	0	0	16	0	0	0	0	0	0	0	0	5	71
AHP1	YLR109W	YLR109W_mRNA	protein_coding	1	0	3	544	0	0	0	0	484	1	0	0	3	0	0	0	0	0	0	0	0	0	60
AHT1	YHR093W	YHR093W_mRNA	protein_coding	5	1	7	144	1	0	0	0	79	5	0	0	7	0	0	0	0	0	0	0	0	1	65
AI1	Q0050	Q0050_mRNA	protein_coding	19	16	42	875	1	0	0	0	554	15	0	0	42	0	0	0	1	0	4	1	0	16	321
AI2	Q0055	Q0055_mRNA	protein_coding	11	17	274	703	0	0	0	0	306	1	0	77	274	0	1	0	1	0	0	9	0	17	321
AI3	Q0060	Q0060_mRNA	protein_coding	17	13	107	890	0	0	0	0	185	5	0	391	108	0	2	1	6	0	0	9	0	9	321
AI4	Q0065	Q0065_mRNA	protein_coding	14	15	18	1029	0	0	0	0	116	9	0	602	20	0	2	2	9	0	0	1	0	9	321
AI5_ALPHA	Q0070	Q0070_mRNA	protein_coding	16	24	17	1073	0	0	0	0	143	12	0	620	19	0	2	2	10	0	0	0	1	16	321
AI5_BETA	Q0075	Q0075_mRNA	protein_coding	2	7	6	520	0	0	0	0	247	2	0	1	6	0	0	0	1	0	0	0	0	6	273
AIF1	YNR074C	YNR074C_mRNA	protein_coding	24	23	102	1323	0	1	0	0	505	20	0	0	108	0	0	0	1	0	6	1	0	23	818
AIM10	YER087W	YER087W_mRNA	protein_coding	5	4	6	102	0	0	0	0	68	5	0	0	6	0	0	0	0	0	0	0	0	4	34
AIM11	YER093C-A	YER093C-A_mRNA	protein_coding	3	3	12	397	1	0	0	0	175	1	0	7	13	0	0	1	1	0	1	0	0	3	216
AIM14	YGL160W	YGL160W_mRNA	protein_coding	15	8	14	406	0	0	1	0	294	12	0	0	14	0	0	0	0	0	3	0	0	9	112
AIM17	YHL021C	YHL021C_mRNA	protein_coding	25	18	84	596	0	0	0	0	397	19	0	0	86	0	0	0	1	1	5	0	1	18	199
AIM18	YHR198C	YHR198C_mRNA	protein_coding	6	3	3	97	0	0	0	0	61	6	0	0	3	0	0	0	0	0	0	0	0	3	36
AIM19	YIL087C	YIL087C_mRNA	protein_coding	4	2	2	307	0	0	0	0	219	4	0	0	3	0	0	0	0	0	0	0	0	2	88
AIM2	YAL049C	YAL049C_mRNA	protein_coding	4	4	2	244	0	0	0	0	68	4	0	0	2	0	0	0	0	0	0	0	0	4	176
AIM20	YIL158W	YIL158W_mRNA	protein_coding	24	7	37	645	0	1	1	3	256	22	0	0	36	0	0	0	1	0	4	1	0	9	389
AIM21	YIR003W	YIR003W_mRNA	protein_coding	143	21	129	1101	4	1	3	10	764	138	0	0	133	0	0	0	1	0	9	0	0	27	337
AIM22	YJL046W	YJL046W_mRNA	protein_coding	10	6	6	326	0	0	0	0	147	9	0	0	7	0	0	0	0	0	1	0	0	6	179
AIM23	YJL131C	YJL131C_mRNA	protein_coding	10	6	26	378	0	0	0	0	176	9	0	0	26	0	0	0	1	0	1	1	0	6	202
AIM24	YJR080C	YJR080C_mRNA	protein_coding	2	5	5	153	0	0	0	0	72	2	0	0	5	0	0	0	0	0	0	0	0	5	81
AIM25	YJR100C	YJR100C_mRNA	protein_coding	3	3	5	417	0	0	0	0	203	3	0	0	5	0	0	0	0	0	0	0	0	3	214
AIM26	YKL037W	YKL037W_mRNA	protein_coding	7	11	36	1105	0	0	0	1	566	7	0	0	37	0	0	0	1	0	1	0	1	11	539
AIM29	YKR074W	YKR074W_mRNA	protein_coding	0	1	5	319	0	0	0	0	145	0	0	0	5	0	0	0	0	0	0	0	0	1	174
AIM3	YBR108W	YBR108W_mRNA	protein_coding	6	12	18	186	0	0	1	0	60	6	0	0	17	0	0	0	0	0	0	0	0	12	126
AIM32	YML050W	YML050W_mRNA	protein_coding	10	8	22	677	0	0	0	0	203	9	0	0	22	0	0	0	0	0	1	0	0	8	474
AIM33	YML087C	YML087C_mRNA	protein_coding	13	15	28	423	0	0	0	1	302	9	0	0	27	0	0	0	1	0	3	1	0	16	121
AIM34	YMR003W	YMR003W_mRNA	protein_coding	4	3	3	324	0	0	0	0	283	4	0	0	4	0	0	0	0	0	0	0	0	3	41
AIM36	YMR157C	YMR157C_mRNA	protein_coding	12	9	22	372	0	0	0	0	119	10	0	0	22	0	0	0	0	0	2	0	0	9	253
AIM39	YOL053W	YOL053W_mRNA	protein_coding	5	9	21	470	0	0	0	0	223	5	1	0	21	0	0	0	0	0	0	0	0	8	247
AIM4	YBR194W	YBR194W_mRNA	protein_coding	5	4	8	511	0	0	0	1	339	5	0	0	7	0	0	0	0	0	0	0	0	4	172
AIM41	YOR215C	YOR215C_mRNA	protein_coding	7	4	14	235	0	1	0	0	166	5	0	0	14	0	0	0	0	0	2	0	0	4	69
AIM44	YPL158C	YPL158C_mRNA	protein_coding	8	14	40	132	0	0	1	1	74	8	0	0	39	0	0	0	0	0	0	0	0	14	58
AIM45	YPR004C	YPR004C_mRNA	protein_coding	3	1	4	70	0	0	0	0	38	3	0	0	4	0	0	0	0	0	0	0	0	1	32
AIM46	YHR199C	YHR199C_mRNA	protein_coding	4	1	3	101	0	0	0	0	54	4	0	0	3	0	0	0	0	0	0	0	0	1	47
AIM6	YDL237W	YDL237W_mRNA	protein_coding	9	11	23	621	0	0	0	0	174	9	0	0	24	0	0	0	0	0	0	0	0	11	447
AIM7	YDR063W	YDR063W_mRNA	protein_coding	30	2	12	699	0	0	0	2	275	29	0	0	12	0	0	0	1	0	2	0	0	3	424
AIM9	YER080W	YER080W_mRNA	protein_coding	23	18	41	247	0	2	0	0	104	22	0	0	41	0	0	0	0	0	2	0	0	18	143
AIP1	YMR092C	YMR092C_mRNA	protein_coding	5	2	11	124	0	0	0	0	46	5	0	0	11	0	0	0	0	0	0	0	0	2	78
AIR1	YIL079C	YIL079C_mRNA	protein_coding	9	5	21	502	0	1	0	0	429	8	0	0	21	0	0	0	0	0	1	0	0	5	73
AIR2	YDL175C	YDL175C_mRNA	protein_coding	13	16	37	574	0	0	0	0	111	10	0	0	38	0	0	0	0	0	3	0	0	16	463
AKL1	YBR059C	YBR059C_mRNA	protein_coding	21	11	33	217	0	1	0	0	112	20	0	0	35	0	0	0	0	0	1	0	0	11	105
AKR1	YDR264C	YDR264C_mRNA	protein_coding	185	26	167	746	3	4	4	2	459	173	0	0	188	0	0	0	0	1	19	0	0	37	287
AKR2	YOR034C	YOR034C_mRNA	protein_coding	4	6	6	76	0	0	1	0	45	3	0	0	5	0	0	0	0	1	0	0	0	6	31
ALA1	YOR335C	YOR335C_mRNA	protein_coding	14	11	22	242	0	0	0	0	46	14	0	0	22	0	0	0	0	0	0	0	0	11	196
ALB1	YJL122W	YJL122W_mRNA	protein_coding	18	4	21	1226	0	0	0	0	645	17	0	0	23	0	0	0	0	1	0	0	0	4	581
ALD2	YMR170C	YMR170C_mRNA	protein_coding	17	35	110	357	0	0	0	0	161	13	0	0	110	0	0	0	1	0	4	1	0	35	196
ALD3	YMR169C	YMR169C_mRNA	protein_coding	22	13	14	331	0	0	0	0	26	19	0	0	16	0	0	0	0	1	2	0	0	14	305
ALD4	YOR374W	YOR374W_mRNA	protein_coding	4	4	3	152	0	0	0	0	113	3	0	0	3	0	0	0	1	0	0	1	0	4	39
ALD5	YER073W	YER073W_mRNA	protein_coding	13	7	25	139	0	0	0	1	100	11	0	0	24	0	0	0	0	0	2	0	0	7	39
ALD6	YPL061W	YPL061W_mRNA	protein_coding	18	9	37	375	0	0	0	1	287	17	0	0	36	0	0	0	0	0	1	0	0	9	88
ALE1	YOR175C	YOR175C_mRNA	protein_coding	16	13	34	405	0	0	0	0	103	15	0	0	34	0	0	0	0	0	1	0	0	14	302
ALF1	YNL148C	YNL148C_mRNA	protein_coding	1	4	3	133	0	0	0	0	92	1	0	0	3	0	0	0	0	0	0	0	0	4	41
ALG1	YBR110W	YBR110W_mRNA	protein_coding	3	4	2	151	0	0	0	0	79	3	0	0	2	0	0	0	0	0	0	0	0	4	72
ALG11	YNL048W	YNL048W_mRNA	protein_coding	6	3	11	394	0	0	0	0	279	6	0	0	11	0	0	0	0	0	0	0	0	3	115
ALG12	YNR030W	YNR030W_mRNA	protein_coding	6	6	8	219	0	0	0	1	174	6	0	0	7	0	0	0	0	0	0	0	0	6	45
ALG13	YGL047W	YGL047W_mRNA	protein_coding	13	13	50	431	0	0	0	0	214	12	0	0	50	0	0	0	0	0	1	0	0	14	217
ALG14	YBR070C	YBR070C_mRNA	protein_coding	8	6	27	377	0	1	0	0	225	8	0	0	26	0	0	0	0	0	0	0	0	6	152
ALG2	YGL065C	YGL065C_mRNA	protein_coding	3	0	4	77	0	0	0	0	41	3	0	0	4	0	0	0	0	1	0	0	0	0	36
ALG3	YBL082C	YBL082C_mRNA	protein_coding	4	4	1	225	0	0	0	0	34	4	0	0	1	0	0	0	0	0	0	0	0	4	191
ALG5	YPL227C	YPL227C_mRNA	protein_coding	6	8	11	350	0	0	0	0	308	5	0	0	11	0	0	0	0	0	1	0	0	8	42
ALG6	YOR002W	YOR002W_mRNA	protein_coding	5	3	8	283	0	0	0	0	184	5	0	0	8	0	0	0	0	0	0	0	0	3	99
ALG7	YBR243C	YBR243C_mRNA	protein_coding	15	8	31	846	0	1	0	0	726	15	0	0	34	0	0	0	0	1	0	0	0	8	120
ALG8	YOR067C	YOR067C_mRNA	protein_coding	16	11	28	214	0	0	0	0	83	16	0	0	28	0	0	0	0	0	0	0	0	11	131
ALG9	YNL219C	YNL219C_mRNA	protein_coding	14	4	14	271	0	0	0	0	56	11	0	0	14	0	0	0	0	0	3	0	0	5	215
ALK1	YGL021W	YGL021W_mRNA	protein_coding	193	32	175	727	2	10	5	12	618	189	0	0	182	0	0	0	0	0	15	0	0	36	109
ALK2	YBL009W	YBL009W_mRNA	protein_coding	68	19	142	225	2	0	1	5	111	62	0	0	141	0	0	0	0	0	8	0	0	25	114
ALO1	YML086C	YML086C_mRNA	protein_coding	13	7	11	355	0	0	0	0	296	12	0	0	11	0	0	0	0	0	1	0	0	7	59
ALP1	YNL270C	YNL270C_mRNA	protein_coding	170	30	143	1404	2	14	3	7	814	160	0	0	144	0	0	0	0	1	13	0	0	37	590
ALR1	YOL130W	YOL130W_mRNA	protein_coding	27	18	42	402	0	0	1	0	142	24	0	0	43	0	0	0	1	0	2	1	0	18	260
ALR2	YFL050C	YFL050C_mRNA	protein_coding	14	23	52	431	0	0	0	0	314	13	0	0	54	0	0	0	0	0	1	0	0	23	117
ALT1	YLR089C	YLR089C_mRNA	protein_coding	20	16	45	722	0	1	0	0	247	19	0	0	45	0	0	0	0	0	1	0	0	16	475
ALT2	YDR111C	YDR111C_mRNA	protein_coding	2	5	2	232	0	0	0	0	55	2	0	0	2	0	0	0	0	0	0	0	0	5	177
ALY1	YKR021W	YKR021W_mRNA	protein_coding	14	19	54	257	0	0	1	0	75	14	0	0	54	0	0	0	0	0	0	0	0	19	182
ALY2	YJL084C	YJL084C_mRNA	protein_coding	7	2	6	73	0	0	0	0	40	7	0	0	6	0	0	0	0	0	0	0	0	2	33
AMA1	YGR225W	YGR225W_mRNA	protein_coding	4	7	8	569	0	0	0	0	533	4	1	4	8	0	0	0	0	0	0	0	0	6	32
AMD1	YML035C	YML035C_mRNA	protein_coding	12	16	10	244	0	0	1	0	169	11	0	0	9	0	0	0	0	0	1	0	0	16	75
AMD2	YDR242W	YDR242W_mRNA	protein_coding	12	10	44	857	0	0	1	0	610	10	0	0	44	0	0	0	0	0	2	0	0	10	247
AME1	YBR211C	YBR211C_mRNA	protein_coding	1	4	3	245	0	0	0	0	82	1	0	0	3	0	0	0	0	0	0	0	0	4	163
AMF1	YOR378W	YOR378W_mRNA	protein_coding	9	5	11	122	1	0	0	0	36	7	0	0	10	0	0	0	0	0	2	0	0	5	86
AMN1	YBR158W	YBR158W_mRNA	protein_coding	10	17	37	333	0	0	0	0	153	10	0	0	39	0	0	0	0	0	0	0	0	17	180
AMS1	YGL156W	YGL156W_mRNA	protein_coding	41	28	88	546	0	0	1	0	328	36	0	0	92	0	0	0	0	0	5	0	0	29	218
ANB1	YJR047C	YJR047C_mRNA	protein_coding	5	4	17	369	0	0	0	0	308	4	0	0	17	0	0	0	1	0	0	1	0	5	61
ANP1	YEL036C	YEL036C_mRNA	protein_coding	11	12	18	377	0	0	0	0	287	9	0	0	18	0	0	0	0	0	2	0	0	12	90
ANR2	YKL047W	YKL047W_mRNA	protein_coding	5	13	7	312	0	0	0	0	279	5	0	0	7	0	0	0	0	0	0	0	0	13	33
ANS1	YHR126C	YHR126C_mRNA	protein_coding	7	10	18	570	0	1	0	0	316	7	0	0	18	0	0	0	1	0	0	0	1	10	254
ANT1	YPR128C	YPR128C_mRNA	protein_coding	23	25	83	579	1	0	1	0	229	18	0	0	85	0	0	0	0	2	5	0	0	26	350
